643,http,841
3764,guitar,661
4085,music,394
1051,piano,355
3007,the,257
2199,gt,229
2673,play,220
4556,today,199
2554,new,198
40,RT,180
4636,violin,153
562,go,146
1874,check,141
2970,swapnishj,139
1291,song,131
1964,day,130
4360,see,130
1688,amp,121
986,one,110
2416,love,108
2575,nowplay,105
1597,you,103
785,lesson,101
1571,win,94
2193,great,93
1548,watch,90
1424,thi,89
2305,jazz,89
298,classic,88
3633,enter,87
1522,video,85
3736,get,85
2354,know,83
3227,We,81
2519,morn,80
1937,cover,79
4551,time,78
956,night,77
3063,tune,77
2395,live,75
1917,come,74
3271,amaz,73
3793,heaven,72
328,concert,71
1601,youtub,70
803,littl,69
2675,playinglesshurt,69
180,beat,67
209,blue,66
3346,beauti,66
3948,learn,66
3287,april,65
354,creativ,63
1081,post,63
768,last,62
85,album,61
999,orchestra,61
3776,happi,61
2105,first,60
3681,fender,60
795,like,59
1019,part,57
1632,My,57
3765,guitarist,56
4386,show,56
942,never,55
1588,year,55
2188,got,55
4666,week,55
544,gear,54
1143,record,54
1498,unplugg,54
1545,want,54
35,Of,53
1599,your,52
1132,readi,51
1436,throne,51
1506,us,50
1626,It,50
3749,good,50
3979,look,50
1039,perform,48
1086,practic,48
1425,thing,48
2435,make,48
2773,robboranx,48
3377,black,48
738,kawaipiano,47
1285,solo,47
1625,In,47
2121,follow,47
1560,what,46
597,happen,45
1579,work,45
3325,back,45
1153,releas,44
1347,string,44
3722,game,44
4303,right,44
3333,bass,43
4313,rock,43
4408,slash,43
1815,broadcast,42
3972,listen,42
417,download,40
1647,To,40
2674,player,40
4027,martalmcompos,40
1262,singl,39
4294,review,39
2240,here,38
2369,latest,38
3005,thank,38
3187,Do,38
3240,acoust,38
4000,made,38
4563,tonight,38
2538,musician,37
3649,ever,37
4652,wait,37
90,alo,36
696,jayneubau,36
2097,final,36
3991,luiz,36
4148,open,36
4538,think,36
641,how,35
982,old,35
1160,repost,35
1382,take,34
1931,cool,34
2208,ha,34
3859,instrument,34
200,best,33
531,from,33
935,need,33
1214,scale,33
2604,our,33
2743,rehears,33
4053,midi,33
4369,session,33
4583,tri,33
3,An,32
583,gui,32
3037,tomorrow,32
3199,Is,32
3294,arriv,32
4626,vibe,32
1050,pianist,31
1537,voic,31
2318,join,31
3040,top,31
3193,Go,31
3961,life,31
4574,track,31
526,free,30
642,ht,30
1139,reason,30
1460,tophat,30
2036,enjoy,30
2381,lespaul,30
3526,custom,30
4041,medley,30
4482,student,30
30,Me,29
665,improvis,29
1260,sing,29
1743,band,29
2299,jam,29
2848,share,29
203,bit,28
224,break,28
443,electr,28
1134,realli,28
1217,school,28
1713,art,28
1884,chord,28
2142,friend,28
3939,late,28
4568,tour,28
4638,violinist,28
838,mani,27
913,mu,27
1331,star,27
1363,super,27
1462,touch,27
3270,alway,27
3792,hear,27
465,even,26
798,link,26
1489,two,26
2463,may,26
3141,wonder,26
3148,world,26
3152,would,26
3716,fun,26
4675,white,26
109,and,25
141,artist,25
317,com,25
385,debut,25
576,green,25
2907,start,25
3163,yesterday,25
89,all,24
216,book,24
445,eleonorbindman,24
468,everyon,24
773,lead,24
804,liv,24
1035,peopl,24
1301,sound,24
2128,found,24
2511,moment,24
2975,symphoni,24
3137,with,24
3602,drum,24
3685,fiddl,24
3713,freemus,24
4448,spotifi,24
4676,wi,24
121,announc,23
248,call,23
510,fineartbyannett,23
987,onlin,23
1053,pic,23
1406,th,23
1480,tuesday,23
1552,weekend,23
1609,As,23
1624,IS,23
1838,camera,23
1904,co,23
2101,finish,23
2123,for,23
2256,htt,23
2542,na,23
2558,newmus,23
2665,piec,23
2742,red,23
2926,stori,23
3650,everi,23
3768,guy,23
4220,power,23
891,monday,22
1252,shop,22
2213,hand,22
3737,gig,22
3910,key,22
4370,set,22
324,compos,21
1085,pr,21
1183,room,21
2073,fact,21
2713,put,21
2746,relax,21
3363,better,21
3802,hi,21
4543,three,21
123,anoth,20
730,just,20
1360,sunday,20
2422,lxve,20
2562,next,20
2825,se,20
2960,sunset,20
3144,word,20
3221,Th,20
471,excit,19
558,give,19
853,meet,19
1261,singer,19
1550,way,19
1692,angel,19
2086,featur,19
2202,guit,19
2311,joe,19
2545,name,19
2811,say,19
3324,bach,19
3821,hope,19
4344,saturday,19
4357,season,19
4624,version,19
4673,when,19
46,TO,18
326,composit,18
494,feel,18
553,gibson,18
581,gu,18
722,joshuamaxey,18
900,motiv,18
968,now,18
1116,question,18
1376,system,18
1397,telecast,18
